BioProject	Run	Common Name
PRJNA783885	SRR17045942	1116
PRJNA783885	SRR17045943	1115
PRJNA783885	SRR17045944	1114
PRJNA783885	SRR17045945	848
PRJNA783885	SRR17045946	1113
PRJNA783885	SRR17045947	1112
PRJNA783885	SRR17045948	1111
PRJNA783885	SRR17045949	1110
PRJNA783885	SRR17045950	1109
PRJNA783885	SRR17045951	1108
PRJNA783885	SRR17045952	1107
PRJNA783885	SRR17045953	1106
PRJNA783885	SRR17045954	1105
PRJNA783885	SRR17045955	1104
PRJNA783885	SRR17045956	847
PRJNA783885	SRR17045957	1103
PRJNA783885	SRR17045958	1102
PRJNA783885	SRR17045959	1101
PRJNA783885	SRR17045960	1100
PRJNA783885	SRR17045961	1099
PRJNA783885	SRR17045962	1098
PRJNA783885	SRR17045963	1097
PRJNA783885	SRR17045964	1096
PRJNA783885	SRR17045965	1095
PRJNA783885	SRR17045966	1094
PRJNA783885	SRR17045967	846
PRJNA783885	SRR17045968	1546
PRJNA783885	SRR17045969	1513
PRJNA783885	SRR17045970	1506
PRJNA783885	SRR17045971	1475
PRJNA783885	SRR17045972	1413
PRJNA783885	SRR17045973	1407
PRJNA783885	SRR17045974	835
PRJNA783885	SRR17045975	1394
PRJNA783885	SRR17045976	1385
PRJNA783885	SRR17045977	1383
PRJNA783885	SRR17045978	1371
PRJNA783885	SRR17045979	1335
PRJNA783885	SRR17045980	1329
PRJNA783885	SRR17045981	1322
PRJNA783885	SRR17045982	9
PRJNA783885	SRR17045983	8
PRJNA783885	SRR17045984	7
PRJNA783885	SRR17045985	834
PRJNA783885	SRR17045986	6
PRJNA783885	SRR17045987	5
PRJNA783885	SRR17045988	4
PRJNA783885	SRR17045989	3
PRJNA783885	SRR17045990	21
PRJNA783885	SRR17045991	20
PRJNA783885	SRR17045992	2666
PRJNA783885	SRR17045993	1282
PRJNA783885	SRR17045994	1280
PRJNA783885	SRR17045995	1279
PRJNA783885	SRR17045996	1278
PRJNA783885	SRR17045997	1277
PRJNA783885	SRR17045998	1276
PRJNA783885	SRR17045999	1274
PRJNA783885	SRR17046000	1273
PRJNA783885	SRR17046001	1272
PRJNA783885	SRR17046002	2
PRJNA783885	SRR17046003	1271
PRJNA783885	SRR17046004	1270
PRJNA783885	SRR17046005	1268
PRJNA783885	SRR17046006	1267
PRJNA783885	SRR17046007	1266
PRJNA783885	SRR17046008	1265
PRJNA783885	SRR17046009	1264
PRJNA783885	SRR17046010	1263
PRJNA783885	SRR17046011	1262
PRJNA783885	SRR17046012	1261
PRJNA783885	SRR17046013	19
PRJNA783885	SRR17046014	1260
PRJNA783885	SRR17046015	1259
PRJNA783885	SRR17046016	1258
PRJNA783885	SRR17046017	1257
PRJNA783885	SRR17046018	1256
PRJNA783885	SRR17046019	1255
PRJNA783885	SRR17046020	1254
PRJNA783885	SRR17046021	1253
PRJNA783885	SRR17046022	1252
PRJNA783885	SRR17046023	1251
PRJNA783885	SRR17046024	18
PRJNA783885	SRR17046025	1250
PRJNA783885	SRR17046026	1249
PRJNA783885	SRR17046027	1248
PRJNA783885	SRR17046028	1247
PRJNA783885	SRR17046029	1246
PRJNA783885	SRR17046030	1245
PRJNA783885	SRR17046031	1244
PRJNA783885	SRR17046032	1243
PRJNA783885	SRR17046033	1242
PRJNA783885	SRR17046034	1241
PRJNA783885	SRR17046035	17
PRJNA783885	SRR17046036	833
PRJNA783885	SRR17046037	1240
PRJNA783885	SRR17046038	1239
PRJNA783885	SRR17046039	1238
PRJNA783885	SRR17046040	1237
PRJNA783885	SRR17046041	1236
PRJNA783885	SRR17046042	1235
PRJNA783885	SRR17046043	1234
PRJNA783885	SRR17046044	1233
PRJNA783885	SRR17046045	1232
PRJNA783885	SRR17046046	1231
PRJNA783885	SRR17046047	16
PRJNA783885	SRR17046048	1230
PRJNA783885	SRR17046049	1229
PRJNA783885	SRR17046050	1228
PRJNA783885	SRR17046051	1227
PRJNA783885	SRR17046052	1226
PRJNA783885	SRR17046053	1225
PRJNA783885	SRR17046054	1223
PRJNA783885	SRR17046055	1221
PRJNA783885	SRR17046056	1220
PRJNA783885	SRR17046057	1219
PRJNA783885	SRR17046058	15
PRJNA783885	SRR17046059	1218
PRJNA783885	SRR17046060	1217
PRJNA783885	SRR17046061	1216
PRJNA783885	SRR17046062	1215
PRJNA783885	SRR17046063	1214
PRJNA783885	SRR17046064	1093
PRJNA783885	SRR17046065	1092
PRJNA783885	SRR17046066	1091
PRJNA783885	SRR17046067	1090
PRJNA783885	SRR17046068	1089
PRJNA783885	SRR17046069	1088
PRJNA783885	SRR17046070	1087
PRJNA783885	SRR17046071	1086
PRJNA783885	SRR17046072	1085
PRJNA783885	SRR17046073	1084
PRJNA783885	SRR17046074	845
PRJNA783885	SRR17046075	1083
PRJNA783885	SRR17046076	1082
PRJNA783885	SRR17046077	1081
PRJNA783885	SRR17046078	1080
PRJNA783885	SRR17046079	1079
PRJNA783885	SRR17046080	1078
PRJNA783885	SRR17046081	1077
PRJNA783885	SRR17046082	1076
PRJNA783885	SRR17046083	1075
PRJNA783885	SRR17046084	1073
PRJNA783885	SRR17046085	844
PRJNA783885	SRR17046086	1072
PRJNA783885	SRR17046087	1070
PRJNA783885	SRR17046088	1069
PRJNA783885	SRR17046089	1068
PRJNA783885	SRR17046090	1067
PRJNA783885	SRR17046091	1066
PRJNA783885	SRR17046092	1065
PRJNA783885	SRR17046093	1064
PRJNA783885	SRR17046094	1063
PRJNA783885	SRR17046095	1062
PRJNA783885	SRR17046096	1030
PRJNA783885	SRR17046097	1029
PRJNA783885	SRR17046098	1028
PRJNA783885	SRR17046099	1027
