index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
249	FHK10mAP	FHK10	NA1	Fusarium graminearum	Triticum aestivum	15	USA
250	FHK11mAP	FHK11	NA1	Fusarium graminearum	Triticum aestivum	15	USA
251	FHK12mAP	FHK12	NA1	Fusarium graminearum	Triticum aestivum	15	USA
252	FHK13mAP	FHK13	NA1	Fusarium graminearum	Triticum aestivum	15	USA
253	FHK14mAP	FHK14	NA1	Fusarium graminearum	Triticum aestivum	15	USA
254	FHK15mAP	FHK15	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
255	FHK16mAP	FHK16	NA1	Fusarium graminearum	Triticum aestivum	15	USA
256	FHK17mAP	FHK17	NA2	Fusarium graminearum	Triticum aestivum	3	USA
257	FHK18mAP	FHK18	NA1	Fusarium graminearum	Triticum aestivum	15	USA
258	FHK19mAP	FHK19	NA1	Fusarium graminearum	Triticum aestivum	15	USA
259	FHK1mAP	FHK1	NA1	Fusarium graminearum	Triticum aestivum	15	USA
260	FHK20mAP	FHK20	NA1	Fusarium graminearum	Triticum aestivum	15	USA
261	FHK21mAP	FHK21	NA1	Fusarium graminearum	Triticum aestivum	15	USA
262	FHK22mAP	FHK22	NA2	Fusarium graminearum	Triticum aestivum	15	USA
263	FHK23mAP	FHK23	NA2	Fusarium graminearum	Triticum aestivum	15	USA
264	FHK24mAP	FHK24	NA2	Fusarium graminearum	Triticum aestivum	3	USA
265	FHK25mAP	FHK25	NA1	Fusarium graminearum	Triticum aestivum	15	USA
266	FHK26mAP	FHK26	NA2	Fusarium graminearum	Triticum aestivum	15	USA
267	FHK27mAP	FHK27	NA2	Fusarium graminearum	Triticum aestivum	3	USA
268	FHK28mAP	FHK28	NA2	Fusarium graminearum	Triticum aestivum	3	USA
269	FHK29mAP	FHK29	NA2	Fusarium graminearum	Triticum aestivum	3	USA
270	FHK2mAP	FHK2	NA1	Fusarium graminearum	Triticum aestivum	15	USA
271	FHK30mAP	FHK30	NA1	Fusarium graminearum	Barley	15	USA
272	FHK31mAP	FHK31	Admixture	Fusarium graminearum		15	USA
273	FHK32mAP	FHK32	NA1	Fusarium graminearum	Triticum aestivum	15	USA
274	FHK33mAP	FHK33	NA1	Fusarium graminearum	Triticum aestivum	15	USA
275	FHK34mAP	FHK34	NA1	Fusarium graminearum	Triticum aestivum	15	USA
276	FHK35mAP	FHK35	NA1	Fusarium graminearum	Triticum aestivum	15	USA
277	FHK36mAP	FHK36	NA1	Fusarium graminearum	Triticum aestivum	15	USA
278	FHK37mAP	FHK37	NA1	Fusarium graminearum	Triticum aestivum	15	USA
279	FHK38mAP	FHK38	NA1	Fusarium graminearum	Triticum aestivum	15	USA
280	FHK39mAP	FHK39	NA1	Fusarium graminearum	Triticum aestivum	15	USA
281	FHK3mAP	FHK3	NA1	Fusarium graminearum	Triticum aestivum	15	USA
282	FHK40mAP	FHK40	NA1	Fusarium graminearum	Triticum aestivum	15	USA
283	FHK41mAP	FHK41	NA1	Fusarium graminearum	Triticum aestivum	15	USA
284	FHK42mAP	FHK42	NA1	Fusarium graminearum	Triticum aestivum	15	USA
285	FHK43mAP	FHK43	NA1	Fusarium graminearum	Triticum aestivum	15	USA
286	FHK44mAP	FHK44	NA1	Fusarium graminearum	Triticum aestivum	15	USA
287	FHK45mAP	FHK45	NA1	Fusarium graminearum	Triticum aestivum	15	USA
288	FHK46mAP	FHK46	NA1	Fusarium graminearum	Triticum aestivum	15	USA
289	FHK47mAP	FHK47	NA1	Fusarium graminearum	Triticum aestivum	15	USA
290	FHK48mAP	FHK48	NA1	Fusarium graminearum	Triticum aestivum	15	USA
291	FHK49mAP	FHK49	NA1	Fusarium graminearum	Triticum aestivum	15	USA
292	FHK4mAP	FHK4	NA1	Fusarium graminearum	Triticum aestivum	15	USA
293	FHK50mAP	FHK50	NA1	Fusarium graminearum	Triticum aestivum	15	USA
294	FHK51mAP	FHK51	NA2	Fusarium graminearum		15	USA
295	FHK52mAP	FHK52	NA1	Fusarium graminearum		15	USA
296	FHK53mAP	FHK53	NA2	Fusarium graminearum		15	USA
297	FHK54mAP	FHK54	NA2	Fusarium graminearum		15	USA
298	FHK55mAP	FHK55	NA2	Fusarium graminearum		15	USA
299	FHK56mAP	FHK56	NA2	Fusarium graminearum		15	USA
300	FHK57mAP	FHK57	NA2	Fusarium graminearum		3	USA
301	FHK58mAP	FHK58	NA2	Fusarium graminearum		3	USA
302	FHK59mAP	FHK59	NA2	Fusarium graminearum		3	USA
303	FHK5mAP	FHK5	NA1	Fusarium graminearum	Triticum aestivum	15	USA
304	FHK60mAP	FHK60	NA2	Fusarium graminearum		3	USA
305	FHK61mAP	FHK61	NA1	Fusarium graminearum		15	USA
306	FHK62mAP	FHK62	NA1	Fusarium graminearum		15	USA
307	FHK63mAP	FHK63	NA1	Fusarium graminearum		15	USA
308	FHK64mAP	FHK64	NA1	Fusarium graminearum		15	USA
309	FHK65mAP	FHK65	NA1	Fusarium graminearum		15	USA
310	FHK66mAP	FHK66	NA1	Fusarium graminearum		15	USA
311	FHK67mAP	FHK67	Admixture	Fusarium graminearum		15	USA
312	FHK68mAP	FHK68	NA1	Fusarium graminearum		15	USA
313	FHK69mAP	FHK69	NA2	Fusarium graminearum		15	USA
314	FHK6mAP	FHK6	NA1	Fusarium graminearum	Triticum aestivum	15	USA
315	FHK70mAP	FHK70	NA2	Fusarium graminearum		3	USA
